job_title,company_name,job_location,salary_range,job_posted,description,Ratings
"Field Based Community Health Worker - New York, NY",UnitedHealth Group,"New York, NY 10013 
(Chinatown area)",$20.00 - $35.53 an hour,"
 30+ days ago","As a Field Based Community Health Worker (CHW) , you will act in a liaison role with Medicaid members to ensure appropriate care is accessed as well as to…",3.6
Centralized Scheduler - Optum Tri-State,UnitedHealth Group,"New York, NY 10013 
(Chinatown area)",$16.00 - $27.31 an hour,"
 18 days ago","The Centralized Scheduler will provide scheduling, surgical and financial instructions to patients, while supporting the Physician(s) and enforcing the…",3.6
"Sales Account Manager - Remote in New York, NY",UnitedHealth Group,"Remote in New York, NY 10013","$50,000 - $110,000 ","
 30+ days ago","The Sales Account Manager (SAM) is a field based position charged with enrolling Medicare beneficiaries, residing in a skilled nursing facility, into the…",3.6
Endoscopy Technician,UnitedHealth Group,"New York, NY 10013 
(Chinatown area)",$27.07 - $53.08 an hour,"
 27 days ago","Setting up procedure rooms, layout of supplies, selection of proper scopes.
Prepares endoscopy procedure room after each procedure by following infection…",3.6
Associate Patient Care Coordinator,UnitedHealth Group,"Brooklyn, NY 11218 
(Borough Park area)",$16.00 - $27.31 an hour,"
 30+ days ago","Greets patients, family members and guests with a friendly smile.
Assists patients with signing in and completing registration.
Basic knowledge of EPIC EMR.",3.6
Administrative Assistant,BlackRock,"Hybrid remote in New York, NY",$33.65 - $52.88 an hour,"
 18 days ago","Drive key team activities and events (such as team meetings, strategy sessions, conferences, ordering supplies and social events).",3.8
Administrative Aide II,New York University,"Hybrid remote in New York, NY 10012",$34.63 an hour,"
 6 days ago","Perform a wide range of clerical, secretarial and general office duties including those of a confidential nature.
Knowledge of desktop publishing software.",4.2
Confidential Secretary Series (Buses),Metropolitan Transportation Authority,"Brooklyn, NY 11207 
(Brownsville area)","From $105,472 ","
 26 days ago","Log all incoming correspondence, screen telephone calls, visitors, messages, and other general correspondence.
Paid vacation, holidays and leave programs.",4.0
Project Management Analyst,Mastercard,"New York, NY 10011 
(Flatiron area)","$77,000 - $119,000 ","
 13 days ago",Uses analytical problem solving and project management tools to advise senior team members of progress and accomplishments of projects.,4.0
"Legal Administrative Assistant, Racial Justice Program",ACLU,"New York, NY 10004 
(Financial District area)","$70,557 ","
 30+ days ago","Schedule, arrange and prepare and distribute materials for meetings and conference calls, and take minutes at those meetings as needed.",4.3
Executive Administrative Assistant,UBS,"New York, NY","$88,750 - $106,250 ","
 6 days ago","Proactively manage diary, scheduling/coordinating internal and external meetings, conference calls and video conferences across multiple time zones; liaising…",3.8
Tiffany & Co. Global Flagship Opportunities,Tiffany & Co.,"New York, NY","$2,800 - $3,000 a week","
 30+ days ago","Experience best-in-class research technology and quantitative risk systems.
Successful summer internship participants will receive an offer for full time…",3.7
Citadel Associate Program,The Metropolitan Museum of Art,"New York, NY","$110,000 - $130,000 ","
 18 days ago","Manage the technical support operations team to provide inquiry research/response, problem analysis, and troubleshooting.",3.8
Technical Support Manager,Standard Chartered,"New York, NY","$80,655 - $138,266 ","
 9 days ago",Discretionary variable pay and a range of attractive bank sponsored benefit programs are available and designed to foster employee overall health and well-being…,4.1
Banking Team Assistant,Barclays,"Hybrid remote in New York, NY 10036","$75,000 - $95,000 ","
 30+ days ago","Organize travel arrangements and itinerary.
Facilitate new employee set-ups – including PC set-ups, software installations, and raising appropriate tickets to…",3.9
Administrative Assistant,Amex,"New York, NY 10019 
(Midtown area)","$60,000 - $110,000 ","
 8 days ago","Partner with engineering, design, and user research to define user stories, user experience, and conduct user testing.",4.1
"Associate Digital Product Management, Consumer Banking",New York University,"New York, NY",$34.63 an hour,"
 30+ days ago","Advanced level skills with computers and business/productivity software (MS Office, Google Suite), word processing, spreadsheets, database applications, and…",4.2
Registrar Assistant,Metropolitan Transportation Authority,"Hybrid remote in New York, NY 10012",$20 - $28 an hour,"
 30+ days ago","Utilize email and phone calls to provide white-glove service in a timely manner.
Work directly with customers to answer questions and resolve problems.",4.0
"Customer Care Associate, Passport (Part-Time, Evenings)",0,"Remote in New York, NY","$69,573 - $91,315 ","
 25 days ago","Performs general secretarial duties such as answering inquiries, taking messages, routing correspondence, receptionist duties, screening telephone calls and…",0
Administrative Assistant,0,"New York, NY 10004 
(Financial District area)",0,"
 26 days ago",0,0
"Manager, Technical Product Management - Remote",UnitedHealth Group,"Remote in New York, NY 10002","$85,000 - $167,300 ","
 13 days ago","Experience interacting with technical talent.
Experience in consumer healthcare products.
Each Technical Product Manager may lead across multiple smaller…",3.6
Technical Product Manager,US Mobile,"New York, NY","$150,000 - $180,000 ","
 26 days ago","A bachelor's degree in business, product management, or a relevant technical field.
Provide strategic direction and oversight to product development teams.",3.6
Associate Technical Product Manager,Sirius XM,"Remote in New York, NY 10019","$193,000 - $259,000 ","
 30+ days ago","Ability to drive technical requirement definition and solution design sessions, working closely with partners across the entire organization.",3.6
"Group Manager, Product Technical Program Management",Meta,"New York, NY","$122,576 ","
 30+ days ago",7+ years of people management experience leading teams to deliver technical programs or products from inception to delivery.,4.1
Product Manager,ACLU,"New York, NY 10004 
(Financial District area)","$142,500 - $200,000 ","
 30+ days ago","Work closely with leadership to justify product roadmap decisions and overall product strategy choices.
Collaborate with other product leaders to create and…",4.3
Core Engineering Product Manager,"JPMorgan Chase Bank, N.A.","New York, NY","$95,000 - $184,000 ","
 8 days ago","Experience of going through a full product lifecycle, integrating customer feedback into product requirements, driving prioritization and pre/post-launch…",3.8
Technical Program Manager (L5) - Product Systems,Netflix,"New York, NY","$158,140 - $237,200 ","
 30+ days ago","Applying strong technical, organizational and communication skills to devise sound technical approaches to abstract goals.",3.9
Technical Product Manager,MarketAxess Corporation,"Hybrid remote in New York, NY","From $112,560 ","
 9 days ago","Manage product/feature rollouts and scaling and iteratively optimizes the product.
6+ years of product management experience.",3.3
"Technical Product Manager, Customer Intelligence",Conde Nast,"New York, NY","$105,510 - $206,420 ","
 30+ days ago","Bachelor or Masters degree in a technical discipline.
As the product manager overseeing the core data platform you will drive the strategic roadmap for data…",4.0
Technical Product Manager - CitiDirect Cash (SVP),Citi,"New York, NY",0,"
 8 days ago",Has responsibility to deliver significant direct business results and authoritative advice regarding product development that necessitates a degree of…,3.9
Technical Product Manager,Click Therapeutics,"New York, NY 10013 
(Tribeca area)",0,"
 30+ days ago","Create and maintain product documentation, including product requirements, acceptance criteria, and KPIs.
Working closely with out Cloud and Data Engineering…",4.3
Technical Product Manager,Skillshare,"New York, NY",0,"
 10 days ago","You have experience owning a business-critical domain as a Product manager such as payments, compliance, or security.",3.7
Technical Product Manager (Product Owner),Northwestern Mutual,"New York, NY",0,"
 30+ days ago","Lead data-driven product decisions by setting and analyzing product metrics at a large scale.
Strong technical, organizational, and analytical skills with…",3.8
Sr. Technical Product Manager,Citi,"New York, NY",0,"
 30+ days ago",Define the product: Responsible for multiple low to medium complexity products and product features from start to finish.,3.9
Product Manager (Full Stack),0,"New York, NY",0,"
 30+ days ago","Strong grasp in product management fundamentals.
Engage and interview clients for user research and establish user stories through product discovery process to…",0
Manager,Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$95,550 - $177,450 ","
 9 days ago",Work closely with the IMO Strategy Director to plan and manage the Integration Management Office efforts across new and existing workstreams bridging guidance…,4.0
Campaign Management Coordinator,Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$45,136 - $83,824 ","
 6 days ago","Discovery seeks a Campaign Management Coordinator for the -Marketing Operations department.
The Project Coordinator is responsible for managing the creation and…",4.0
"Investing & Economy Explainers Editor, CNN Business",Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$77,840 - $144,560 ","
 30+ days ago",This person is a strong collaborator who can help shape CNN Digital’s business reporting and work across teams to occasionally oversee daily coverage.,4.0
Benefits Manager,Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$95,550 - $177,450 ","
 30+ days ago","The ideal candidate will be a hands-on leader with an understanding of scaling benefits programs and practices, a proven track record of conceptualizing…",4.0
Manager International Strategy & Ops,Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$115,500 - $214,500 ","
 12 days ago",The International Strategy & Ops group is responsible for leading strategy across The WBD International business unit to help drive growth and improve…,4.0
"Staff, Product Management",Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$109,900 - $204,100 ","
 1 day ago","As a Staff, Product Management you will help define and build the product roadmap for WarnerBros.
Discovery’s First Party Data Insights Products and Platforms.",4.0
"Research Analyst, CNN Digital Research & Analytics",Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$59,500 - $110,500 ","
 6 days ago","This position will play a key role in analyzing audience engagement and trends, and support audience forecasting.
Bachelor’s degree or higher.",4.0
"Senior Product Manager, Growth Product",Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$117,600 - $218,400 ","
 30+ days ago","The ideal candidate has experience developing products, features and experiences that drive user growth and engagement.",4.0
Director Technology Strategic Sourcing,Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$126,350 - $234,650 ","
 4 days ago","The Warner Bros Discovery (WBD) Director for Technology Strategic Sourcing leads category strategy development and associated initiatives for Broadcast, IT and…",4.0
Staff Product Manager,Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$137,200 - $254,800 ","
 30+ days ago","You will work closely with your cross-functional partners in sales, business development, operations and product on revenue strategies and new monetization…",4.0
Technical Program Manager III,Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$129,500 - $240,500 ","
 19 days ago","We care about both the big picture to deliver revenue and the experience of each individual viewer and advertiser.
$129,500.00 - $240,500.00 salary per year.",4.0
Coordinator,Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$41,195 - $76,505 ","
 30+ days ago","The Coordinator – Digital Ad Technology will interact with national ad sales teams, ad sales marketing, pricing and planning, billing, partner management,…",4.0
"Director, Quality Engineering",Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$181,797 - $337,623 ","
 30+ days ago","The Global QA team helps to span development, execution and reporting on various test activities as it relates to the Global Warner Bros.",4.0
Manager Finance,Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$92,015 - $170,885 ","
 30+ days ago","Discovery, with a primary focus on providing day-to-day forecast/budgeting/decision support to the Ent Tech & Ops pillar of the Technology organization.",4.0
Managing Editor,Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$151,760 - $281,840 ","
 30+ days ago","In addition, the Managing Editor will maintain and grow CNN Business’ audience and revenue by overseeing a team responsible for covering stocks, business…",4.0
Citadel Associate Program,Tiffany & Co.,"New York, NY","$2,800 - $3,000 a week","
 18 days ago","Experience best-in-class research technology and quantitative risk systems.
Successful summer internship participants will receive an offer for full time…",3.7
Tiffany & Co. Global Flagship Opportunities,Amex,"New York, NY","$60,000 - $110,000 ","
 30+ days ago","Partner with engineering, design, and user research to define user stories, user experience, and conduct user testing.",4.1
"Associate Digital Product Management, Consumer Banking",BlackRock,"New York, NY",$33.65 - $52.88 an hour,"
 30+ days ago","Drive key team activities and events (such as team meetings, strategy sessions, conferences, ordering supplies and social events).",3.8
Administrative Assistant,Mastercard,"Hybrid remote in New York, NY","$77,000 - $119,000 ","
 18 days ago",Uses analytical problem solving and project management tools to advise senior team members of progress and accomplishments of projects.,4.0
Project Management Analyst,Gucci,"New York, NY 10011 
(Flatiron area)","$180,000 - $230,000 ","
 13 days ago","The Vice President, Brand & Culture Engagement leads strategy and communications for Gucci’s social impact programs in North America.",4.0
"GUCCI Vice President, Brand & Culture Engagement",Unilever,"New York, NY","$200,600 - $401,200 ","
 30+ days ago","Connect the business strategy and category priorities with the procurement strategy developed by the portfolio groups, engaging with the global procurement…",4.2
"Procurement Director, Ice Cream North America",UnitedHealth Group,"Englewood Cliffs, NJ","$85,000 - $167,300 ","
 30 days ago","4+ years of professional experience in technical (software or hardware) product management managing successful product definition, market analysis, prototyping,…",3.6
"Manager, Technical Product Management - Remote",Penguin Random House LLC,"Remote in New York, NY 10002","$90,000 - $100,000 ","
 13 days ago","Partner with EVP to develop a formal DEI metrics, analytics and insights strategy; work in collaboration with other colleagues including the HR, L+D and…",3.9
"Associate Director, Diversity, Equity & Inclusion (Open to Remote)",The Metropolitan Museum of Art,"Remote in New York, NY 10019",$20 - $28 an hour,"
 30+ days ago","Utilize email and phone calls to provide white-glove service in a timely manner.
Work directly with customers to answer questions and resolve problems.",3.8
"Customer Care Associate, Passport (Part-Time, Evenings)",Fidelis Care,"Remote in New York, NY","$110,000 - $130,000 ","
 25 days ago","Manage the technical support operations team to provide inquiry research/response, problem analysis, and troubleshooting.",3.2
Technical Support Manager,TIAA,"New York, NY","$79,300 - $142,800 ","
 9 days ago","Education/Experience: Bachelor’s degree in Science, Business Management, Accounting, Statistics, Healthcare related field or equivalent 3+ years of related…",3.7
Clinical Informatics Analyst,Trader Joe's,"Hybrid remote in New York, NY","$176,300 - $293,800 ","
 26 days ago","As a recognized master in impact investing, this job oversees all aspects of the investment process, including financial modeling, transaction sourcing, due…",4.0
MD Impact Investing-1,New York University,"New York, NY",$34.63 an hour,"
 2 days ago","Operating the cash register in a fun and efficient manner.
Our Crew Members create a warm and friendly shopping experience in our stores.",4.2
Crew,0,"Brooklyn, NY 11201",0,"
Just posted","Perform a wide range of clerical, secretarial and general office duties including those of a confidential nature.
Knowledge of desktop publishing software.",0
Administrative Aide II,0,"Hybrid remote in New York, NY 10012",0,"
 6 days ago",0,0
Senior Product Manager-GC,DICK'S Sporting Goods,"Remote in New York, NY","$150,000 - $200,000 ","
 3 days ago","Four or more years experience in managing technology products, with a focus on mobile or consumer products.
GameChanger is a product-driven business where your…",3.4
Senior Director of Product,Duolingo,"New York, NY","$252,300 ","
 30+ days ago","Drive strategy for a product or product area.
Lead other product managers working on monetization.
Experience generating outstanding results as a product…",4.1
"Sr Director Business Intelligence, International",Simulmedia,"Remote in New York, NY 10036","$200,000 - $225,000 ","
 13 days ago","Partner with Data Engineering, Data Science, Business Intelligence and Program Management teams to create product roadmaps & timelines for delivery.",3.3
Senior Product Owner,SAMBA TV,"Remote in Manhattan, NY",$70 - $90 an hour,"
 4 days ago","5+ years of experience in product management or product ownership, with a track record of successfully launching and scaling digital products.",1.5
"Senior Director/ Director, Product Management",GameChanger,"New York, NY 10012 
(NoHo area)","$185,000 - $215,000 ","
 27 days ago",6+ years of product management/leadership experience; 5+ advertising products or monetization products along with people management experience is ideal.,4.1
"Sr./Director of Product Management, Viewership Data","JPMorgan Chase Bank, N.A.","New York, NY","$150,000 - $200,000 ","
 30+ days ago","2+ years experience managing a team of product management ICs.
Own the product roadmap for our Viewership Data product suite.
$185,000 - $215,000 a year.",3.8
Senior Product Manager-GC,Moody's,"Remote in New York, NY 10005","$152,000 - $275,000 ","
 3 days ago","Four or more years experience in managing technology products, with a focus on mobile or consumer products.
GameChanger is a product-driven business where your…",3.6
"Public Sector Senior Product Manager-Payments, Executive Director",Capital One,"New York, NY","$157,700 - $276,600 ","
 12 days ago","At least 10+ years of end-to-end product management or engineering experience having delivered financial services, with a dual focus on both product strategy,…",3.9
Asst Director - Senior Full Stack Developer (100% Remote - Throughout US),American Museum of Natural History,"Remote in New York, NY 10007","$140,000 - $165,000 ","
 2 days ago","Assist in designing and developing new products and enhancements based on evolving business needs.
React State management (e.g, Redux, RTK, Jotai, Zustand).",4.2
"Senior Director, Technical Program Management",Revlon,"New York, NY 10011 
(Flatiron area)","From $140,000 ","
 12 days ago","At least 9 years of experience in technical program management.
5+ years experience building highly scalable mobile products & platforms.",3.5
Senior Director of Technology,Paramount,"Temporarily Remote in Long Island City, NY 11101","$185,000 - $220,000 ","
 30+ days ago","Define project metrics and ROI goals for initiatives, track performance post delivery, and communicate product performance regularly with stakeholders;",3.5
Sr. Manager Project and Product Management,Walmart,"New York, NY 10024 
(Upper West Side area)","$190,000 - $205,000 ","
 6 days ago","Thorough understanding of project management methodologies including Agile and Waterfall.
The Senior Manager of Project and Product Management will be…",3.4
"Senior Director, IT Global Digital & eCommerce",0,"New York, NY 10041 
(Financial District area)","$224,000 - $336,000 ","
 12 days ago","Lead and oversee the digital product strategy design, roadmap, product management and technology execution in accordance with Global IT governance and business…",0
Sr. Director Change Management,0,"Hybrid remote in New York, NY 10036",0,"
 3 days ago","Professional certification (PMP, CPLP, Prosci) related to project management, change management, or learning.
Ability to work directly with senior executives on…",0
"Senior Director I, Product Management (US) Conversational Commerce",0,"New York, NY 10013 
(SoHo area)",0,"
 30+ days ago","Define product strategy for the entire product line and platform.
Translate product strategy into roadmaps for the product and engineering teams.",0
Product Owner - Middle and Back Office,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$161,300 - $184,000 ","
 24 days ago","Experiment with new concepts and take appropriate risk to drive innovation.
Promotes full adoption of product features, provides training and onboarding support…",4.1
Foreign Exchange Associate,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$106,900 - $128,300 ","
 10 days ago","Managing the central bank liquidity swap lines.
Experiment with new concepts and take appropriate risk to drive innovation.
Federal Reserve Bank of New York.",4.1
Large and Foreign Banking Organization (LFBO) - Institutional Supervision Lead Examiner,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$124,800 - $156,000 ","
 30+ days ago","Experiment with new concepts and take appropriate risk to drive innovation.
The Supervision Group of the Federal Reserve Bank of New York (FRBNY) supervises…",4.1
Head of Strategy and Product Advancement/Chief Product Owner,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$134,400 - $216,000 ","
 5 days ago","Experiment with new concepts and take appropriate risk to drive innovation.
Please note that the position requires access to confidential supervisory…",4.1
Product Owner – Markets Transformation – Auction and Trading,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$160,000 - $200,000 ","
 30+ days ago","Experiment with new concepts and take appropriate risk to drive innovation.
Promotes agile behaviors within business areas to accelerate the transition to the…",4.1
IT Application Production Support Specialist,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$242,800 - $286,900 ","
 30+ days ago","Experiment with new concepts and take appropriate risk to drive innovation.
Run large initiatives related to the support of new or existing business…",4.1
Mortgage Markets Associate Director,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$325,000 - $355,000 ","
 19 days ago","Experiment with new concepts and take appropriate risk to drive innovation.
Please note that the position requires access to confidential supervisory…",4.1
Chief Compliance & Ethics Officer,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$207,900 - $238,500 ","
 30+ days ago","Experiment with new concepts and take appropriate risk to drive innovation.
Deep experience in regulatory compliance, regulatory affairs, risk management or…",4.1
International Policy & Strategy Country Risk Principal,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$178,100 - $207,900 ","
 15 days ago","Experiment with new concepts and take appropriate risk to drive innovation.
Evaluate country and transfer risk for countries with large US bank exposures;",4.1
Governance & Controls Supervising Examiner,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$178,100 - $207,900 ","
 2 days ago","Experiment with new concepts and take appropriate risk to drive innovation.
The Supervision Group of the Federal Reserve Bank of New York (FRBNY) supervises…",4.1
Consumer Compliance Supervising Examiner,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$132,800 - $154,900 ","
 24 days ago","Activities include evaluating state member banks based on their performance, assessing compliance by all state member banks with applicable federal consumer…",4.1
IT Product Support Associate,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$178,100 - $207,900 ","
 11 days ago","Experiment with new concepts and take appropriate risk to drive innovation.
Maintain, enhance, and develop new documentation covering operational support…",4.1
Compliance Risk Supervising Examiner – BSA/AML and OFAC,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$221,600 - $261,100 ","
 11 days ago","Experiment with new concepts and take appropriate risk to drive innovation.
The Supervision Group of the Federal Reserve Bank of New York (FRBNY) supervises…",4.1
"Program Lead, Payments and Market Infrastructure Policy",Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$267,000 - $316,200 ","
 25 days ago","Experiment with new concepts and take appropriate risk to drive innovation.
Engage and influence external stakeholders and peer central banks through membership…",4.1
"Program Director, Financial Sector Policy and Analysis",Federal Reserve Bank of New York,"Hybrid remote in New York, NY",0,"
 30+ days ago","Your teams are composed of deep subject matter experts who provide regular monitoring, reporting, and in-depth analysis on banks and non-bank financial…",4.1
Product Owner - Middle and Back Office,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$161,300 - $184,000 ","
 24 days ago",Designs and integrates usability studies and research into product requirements to enhance user satisfaction; ensures customer driven design including customers…,4.1
Citadel Associate Program,Tiffany & Co.,"New York, NY","$2,800 - $3,000 a week","
 18 days ago","Experience best-in-class research technology and quantitative risk systems.
Successful summer internship participants will receive an offer for full time…",3.7
Tiffany & Co. Global Flagship Opportunities,BlackRock,"New York, NY",$33.65 - $52.88 an hour,"
 30+ days ago","Drive key team activities and events (such as team meetings, strategy sessions, conferences, ordering supplies and social events).",3.8
Administrative Assistant,New York University,"Hybrid remote in New York, NY",$34.63 an hour,"
 18 days ago","Perform a wide range of clerical, secretarial and general office duties including those of a confidential nature.
Knowledge of desktop publishing software.",4.2
Administrative Aide II,CBS Studios,"Hybrid remote in New York, NY 10012","$1,050 a week","
 6 days ago",This is a program designed to develop high-potential individuals with a passion for late-night comedy and foster a pipeline of diverse talent for future roles…,3.9
THE LATE SHOW WITH STEPHEN COLBERT - Apprentice Program,Fidelis Care,"New York, NY 10019 
(Midtown area)","$79,300 - $142,800 ","
 24 days ago","Education/Experience: Bachelor’s degree in Science, Business Management, Accounting, Statistics, Healthcare related field or equivalent 3+ years of related…",3.2
Clinical Informatics Analyst,New York University,"Hybrid remote in New York, NY",$20 - $28 an hour,"
 26 days ago","Utilize email and phone calls to provide white-glove service in a timely manner.
Work directly with customers to answer questions and resolve problems.",4.2
"Customer Care Associate, Passport (Part-Time, Evenings)",Amex,"Remote in New York, NY",$34.63 an hour,"
 25 days ago","Advanced level skills with computers and business/productivity software (MS Office, Google Suite), word processing, spreadsheets, database applications, and…",4.1
Registrar Assistant,Louis Vuitton,"Hybrid remote in New York, NY 10012","$60,000 - $110,000 ","
 30+ days ago","Partner with engineering, design, and user research to define user stories, user experience, and conduct user testing.",3.7
"Associate Digital Product Management, Consumer Banking",The Metropolitan Museum of Art,"New York, NY","$95,000 - $105,000 ","
 30+ days ago","As an expert in your field, you will.
Louis Vuitton Americas is seeking a Client Data Analyst based in our New York office that will support our Client…",3.8
CLIENT DATA ANALYST,NewYork-Presbyterian Hospital,"Hybrid remote in New York, NY","$110,000 - $130,000 ","
 30+ days ago","Manage the technical support operations team to provide inquiry research/response, problem analysis, and troubleshooting.",4.1
Technical Support Manager,Mastercard,"New York, NY",$28.83 - $36.00 an hour,"
 9 days ago","The Patient Registrars are responsible for greeting and registering the patient in a tactful and courteous manner.
High School diploma or GED.",4.0
Patient Registrar - Emergency Department,New York University,"Manhattan, NY 10065 
(Upper East Side area)",$34.90 an hour,"
 5 days ago","All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected…",4.2
Customer Success Manager,0,"New York, NY 10011 
(Flatiron area)",0,"
 30+ days ago",Provide front-line customer service and administrative support to the Department of Biomedical Engineering at NYU Tandon School of Engineering.,0
Administrative Assistant,0,"Hybrid remote in Brooklyn, NY",0,"
 4 days ago",0,0
Product Owner - Middle and Back Office,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$161,300 - $184,000 ","
 24 days ago",Works with technology teams to respond to changing priorities and delivery requirements across multiple products or product areas.,4.1
"Associate Digital Product Management, Consumer Banking",Amex,"New York, NY","$60,000 - $110,000 ","
 30+ days ago","Experience in new product development, product management, or similar role.
Maintain pulse on external digital product development trends, marketplace dynamics,…",4.1
Product Owner,"Perficient, Inc","New York, NY 10007 
(Financial District area)","$142,000 - $220,000 ","
 12 days ago","This work extends to all aspects of the product lifecycle, including the product proposition, innovations, pricing and governance.",3.4
Manager - Network Strategy and Product,Mastercard,"New York, NY 10011 
(Flatiron area)","$103,000 - $172,000 ","
 16 days ago",The role is part of the global Network Strategy and Product team and will collaborate with cross-functional team members becoming a product ambassador and…,4.0
Product Owner,Fidelity Investments,"New York, NY","$120,000 - $145,000 ","
 4 days ago","At least 2+ years of product experience.
Maintain and prioritize product roadmap, identify dependencies, articulate requirements, and plan future releases with…",4.0
Crypto Trading Product Owner,Nespresso,"Jersey City, NJ 07311 
(Downtown area)","$85,000 - $167,300 ","
 9 days ago",You partner to reconcile cross squad dependencies while taking full ownership of the product backlog that enables effective delivery.,3.8
IT Product Owner (Hybrid Work Environment),UnitedHealth Group,"Hybrid remote in New York, NY","$110,000 - $190,000 ","
 30+ days ago","Creates and manages local product roadmap and contributes to the Nestle and Nespresso global products backlogs.
Develops, owns, and executes product roadmap.",3.6
"Manager, Technical Product Management - Remote",Amex,"Remote in New York, NY 10002","$54,400 - $98,200 ","
 13 days ago","Experience in consumer healthcare products.
Each Technical Product Manager may lead across multiple smaller product squads – each composed of product management…",4.1
Product Manager,S&P Global,"New York, NY","$120,000 - $145,600 ","
 30+ days ago",Driving ongoing engagement with product teams to ensure UX focus and colleague centric approach early in the product lifecycle.,3.9
Product Owner,Morgan Stanley,"New York, NY 10004 
(Financial District area)",$70 - $90 an hour,"
 30+ days ago","Collect product requirements from internal stakeholders.
2+ years professional experience working on a consumer facing product.
This is a full-time position.",3.8
Product Owner - ISG Management,Sirius XM,"New York, NY 10036 
(Midtown area)",0,"
 30+ days ago","The ISG Cross-Divisional Governance group within ISG Management is a 1st line team responsible for governing the Global Model Control, Trader Mandate, Booking…",3.6
Associate Technical Product Manager,Telstra,"Remote in New York, NY 10019",0,"
 30+ days ago",The Associate Technical Product Manager role will be responsible to drive feature and product development for the SiriusXM automotive organization.,3.9
Financial Management Product Owner,0,"New York, NY",0,"
 27 days ago",As a member of the Financial Management Product Owner talent pool you may be deployed as product owner for any product within the domain or use your deep domain…,0
Technical Product Manager (Product Owner),0,"New York, NY",0,"
 30+ days ago","Lead data-driven product decisions by setting and analyzing product metrics at a large scale.
Hands-on experience with user facing products and working closely…",0
Senior Product Owner,0,"Remote in Manhattan, NY",0,"
 4 days ago","5+ years of experience in product management or product ownership, with a track record of successfully launching and scaling digital products.",0
Product Owner - Middle and Back Office,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$161,300 - $184,000 ","
 24 days ago","Provides specialized expertise on strategy, product management, industry, and/or technology to advance ambitious and clear strategy within product domain.",4.1
Product Owner – Markets Transformation – Auction and Trading,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$134,400 - $216,000 ","
 30+ days ago","Provides specialized expertise on strategy, product management, industry, and/or technology to advance ambitious and clear strategy within product domain.",4.1
Head of Strategy and Product Advancement/Chief Product Owner,Federal Reserve Bank of New York,"Hybrid remote in New York, NY",0,"
 5 days ago",Experience with Agile methodologies and techniques to drive high-quality digital product delivery by leveraging product owner and technology squad skills.,4.1
Manager - Network Strategy and Product,Mastercard,"New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago","Manager, Network Strategy and Product.
The successful candidate will help define and execute the strategy and commercialization framework for Mastercard Network…",4.0
Customer Success Manager,Mastercard,"New York, NY 10011 
(Flatiron area)","$77,000 - $119,000 ","
 30+ days ago","All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected…",4.0
Project Management Analyst,Mastercard,"New York, NY 10011 
(Flatiron area)","$172,000 - $266,000 ","
 13 days ago",We are looking for a Sales Analyst that will support the NAM National Accounts Bank of America team with project management and programmatic activities.,4.0
Client Solutions Manager - Account Management,Mastercard,"New York, NY 10011 
(Flatiron area)","$174,000 - $269,000 ","
 18 days ago","The account manager will be responsible for driving market share and revenue growth for Mastercard through effective consultative sales, requiring you to…",4.0
